"Date","Product_Name","Promotion_Applied","Professions","Line_of_Business","Traffic_on_Site","Status","Campaign_Platform","Tactic_Testing","Promotion_Rate","Course_Cost","Cost_Yeild","Day_of_Week","Campaign_Cost","Leads","promo_effect","platform_effect","Sales","Conversion_Rate"
2022-01-03,"Rental vs Sales - Defining Your Path","30% Off","Mortgage Broker","Other",149,"Continuing Education","Facebook","A",0.3,200,60,"Monday",138.6,8,1.15,1,1,12.5
2022-01-03,"Outsmartimg the 20215 Housing Market","40% Off","Other","Private",903,"Continuing Education","Facebook","C",0.4,1000,400,"Monday",289.75,25,1.3,1,2,8
2022-01-03,"20-Hour Mortage Broker Education","None","Appraiser","Government",356,"Continuing Education","Direct","C",NA,2000,NA,"Monday",488.14,22,0.8,1.4,1,4.55
2022-01-04,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Appraiser","Government",960,"Continuing Education","Direct","A",0.4,750,300,"Tuesday",382.76,34,1.3,1.4,3,8.82
2022-01-04,"Rental vs Sales - Defining Your Path","None","Appraiser","Government",460,"Other","Direct","C",NA,200,NA,"Tuesday",286.36,28,0.8,1.4,3,10.71
2022-01-04,"Real Estate Introduction","None","Appraiser","Commerical",394,"Continuing Education","Email","A",NA,1500,NA,"Tuesday",416.17,26,0.8,1,1,3.85
2022-01-05,"Outsmartimg the 20215 Housing Market","50% Off","Mortgage Broker","Residential",103,"Continuing Education","Conference","A",0.5,1000,500,"Wednesday",58.38,13,1.5,1.3,3,23.08
2022-01-05,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Other","Government",658,"Pre-Licensing","LinkedIn","A",0.3,750,225,"Wednesday",339.68,24,1.15,1.1,2,8.33
2022-01-05,"20-Hour Mortage Broker Education","30% Off","Appraiser","Private",767,"Other","Direct","A",0.3,2000,600,"Wednesday",388.24,31,1.15,1.4,3,9.68
2022-01-05,"Rental vs Sales - Defining Your Path","None","Other","Residential",519,"Continuing Education","Email","B",NA,200,NA,"Wednesday",67.02,24,0.8,1,2,8.33
2022-01-05,"Rental vs Sales - Defining Your Path","40% Off","Real Estate Agent","Commerical",620,"Continuing Education","Conference","B",0.4,200,80,"Wednesday",255.91,33,1.3,1.3,5,15.15
2022-01-06,"Rental vs Sales - Defining Your Path","40% Off","Mortgage Broker","Government",158,"Continuing Education","Email","C",0.4,200,80,"Thursday",268.7,40,1.3,1,7,17.5
2022-01-06,"Appraisers State Exam","30% Off","Real Estate Agent","Private",561,"Pre-Licensing","Direct","A",0.3,750,225,"Thursday",306.56,11,1.15,1.4,2,18.18
2022-01-06,"20-Hour Mortage Broker Education","None","Real Estate Agent","Government",114,"Pre-Licensing","LinkedIn","C",NA,2000,NA,"Thursday",86.63,26,0.8,1.1,2,7.69
2022-01-07,"Outsmartimg the 20215 Housing Market","None","Real Estate Agent","Government",104,"Continuing Education","LinkedIn","B",NA,1000,NA,"Friday",395.82,39,0.8,1.1,3,7.69
2022-01-07,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Appraiser","Residential",547,"Other","Conference","B",0.3,7500,2250,"Friday",320.64,26,1.15,1.3,2,7.69
2022-01-07,"Appraisers State Exam","40% Off","Mortgage Broker","Residential",668,"Pre-Licensing","Email","A",0.4,750,300,"Friday",304.53,34,1.3,1,3,8.82
2022-01-07,"Outsmartimg the 20215 Housing Market","None","Real Estate Agent","Residential",383,"Continuing Education","Email","B",NA,1000,NA,"Friday",53.55,35,0.8,1,3,8.57
2022-01-07,"Real Estate Introduction","None","Other","Government",919,"Pre-Licensing","LinkedIn","C",NA,1500,NA,"Friday",195.38,20,0.8,1.1,1,5
2022-01-07,"Appraisers State Exam","50% Off","Real Estate Agent","Residential",208,"Continuing Education","Email","B",0.5,750,375,"Friday",56.3,28,1.5,1,3,10.71
2022-01-07,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Other","Commerical",635,"Pre-Licensing","Direct","C",0.3,750,225,"Friday",201.11,38,1.15,1.4,8,21.05
2022-01-07,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Other",334,"Continuing Education","Facebook","B",NA,750,NA,"Friday",91.06,37,0.8,1,2,5.41
2022-01-08,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Real Estate Agent","Government",126,"Continuing Education","Direct","A",0.3,750,225,"Saturday",281.2,25,1.15,1.4,2,8
2022-01-09,"Outsmartimg the 20215 Housing Market","40% Off","Other","Other",261,"Pre-Licensing","Email","C",0.4,1000,400,"Sunday",180.73,22,1.3,1,2,9.09
2022-01-09,"Rental vs Sales - Defining Your Path","50% Off","Other","Government",451,"Continuing Education","Email","C",0.5,200,100,"Sunday",192.31,11,1.5,1,2,18.18
2022-01-10,"Real Estate Introduction","None","Real Estate Agent","Private",411,"Other","Email","B",NA,1500,NA,"Monday",400.33,5,0.8,1,0,0
2022-01-10,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Other","Private",945,"Pre-Licensing","Conference","C",0.4,7500,3000,"Monday",442.54,23,1.3,1.3,3,13.04
2022-01-10,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Other","Residential",245,"Continuing Education","Email","A",0.4,7500,3000,"Monday",490.15,36,1.3,1,5,13.89
2022-01-10,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Appraiser","Residential",962,"Other","Direct","A",0.3,7500,2250,"Monday",78.2,19,1.15,1.4,4,21.05
2022-01-11,"Real Estate Introduction","None","Mortgage Broker","Private",226,"Continuing Education","Direct","A",NA,1500,NA,"Tuesday",390.67,39,0.8,1.4,4,10.26
2022-01-11,"Real Estate Introduction","30% Off","Other","Commerical",181,"Pre-Licensing","LinkedIn","A",0.3,1500,450,"Tuesday",479.69,21,1.15,1.1,1,4.76
2022-01-11,"Rental vs Sales - Defining Your Path","40% Off","Mortgage Broker","Residential",522,"Pre-Licensing","Direct","C",0.4,200,80,"Tuesday",352.25,11,1.3,1.4,1,9.09
2022-01-11,"Appraisers State Exam","50% Off","Appraiser","Other",267,"Continuing Education","Direct","B",0.5,750,375,"Tuesday",57.82,10,1.5,1.4,2,20
2022-01-12,"Outsmartimg the 20215 Housing Market","None","Other","Residential",582,"Continuing Education","Email","A",NA,1000,NA,"Wednesday",143.46,28,0.8,1,1,3.57
2022-01-13,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Real Estate Agent","Government",195,"Continuing Education","Facebook","C",0.3,7500,2250,"Thursday",237.98,21,1.15,1,1,4.76
2022-01-13,"Transition from Home Real Estate to Commerical Real Estate","None","Appraiser","Private",644,"Continuing Education","Conference","B",NA,750,NA,"Thursday",354.27,11,0.8,1.3,1,9.09
2022-01-13,"Outsmartimg the 20215 Housing Market","30% Off","Other","Commerical",899,"Continuing Education","Facebook","A",0.3,1000,300,"Thursday",98.43,27,1.15,1,2,7.41
2022-01-13,"Real Estate Introduction","30% Off","Appraiser","Other",116,"Continuing Education","Direct","B",0.3,1500,450,"Thursday",244.09,37,1.15,1.4,4,10.81
2022-01-13,"20-Hour Mortage Broker Education","50% Off","Mortgage Broker","Commerical",602,"Continuing Education","Email","B",0.5,2000,1000,"Thursday",109.85,15,1.5,1,2,13.33
2022-01-13,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Private",729,"Continuing Education","Email","C",NA,750,NA,"Thursday",454.67,11,0.8,1,0,0
2022-01-13,"20-Hour Mortage Broker Education","30% Off","Real Estate Agent","Residential",381,"Continuing Education","Facebook","C",0.3,2000,600,"Thursday",70.1,18,1.15,1,2,11.11
2022-01-13,"Outsmartimg the 20215 Housing Market","50% Off","Real Estate Agent","Residential",749,"Continuing Education","Direct","C",0.5,1000,500,"Thursday",404.43,21,1.5,1.4,3,14.29
2022-01-13,"Transition from Home Real Estate to Commerical Real Estate","None","Real Estate Agent","Residential",166,"Pre-Licensing","Email","B",NA,750,NA,"Thursday",147.15,37,0.8,1,3,8.11
2022-01-13,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Commerical",238,"Continuing Education","Email","B",NA,1000,NA,"Thursday",53.9,17,0.8,1,1,5.88
2022-01-13,"20-Hour Mortage Broker Education","50% Off","Other","Private",792,"Continuing Education","LinkedIn","B",0.5,2000,1000,"Thursday",294.9,11,1.5,1.1,1,9.09
2022-01-13,"20-Hour Mortage Broker Education","30% Off","Real Estate Agent","Private",974,"Pre-Licensing","LinkedIn","C",0.3,2000,600,"Thursday",115.85,15,1.15,1.1,1,6.67
2022-01-14,"Appraisers State Exam","50% Off","Appraiser","Commerical",824,"Pre-Licensing","LinkedIn","C",0.5,750,375,"Friday",172.22,10,1.5,1.1,1,10
2022-01-14,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Real Estate Agent","Other",702,"Pre-Licensing","Direct","A",0.4,750,300,"Friday",466.61,25,1.3,1.4,4,16
2022-01-14,"Real Estate Introduction","None","Appraiser","Residential",825,"Continuing Education","Email","B",NA,1500,NA,"Friday",50.78,9,0.8,1,0,0
2022-01-14,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Other","Other",899,"Continuing Education","Email","C",0.3,750,225,"Friday",250.8,35,1.15,1,4,11.43
2022-01-14,"20-Hour Mortage Broker Education","40% Off","Other","Commerical",883,"Pre-Licensing","Conference","B",0.4,2000,800,"Friday",299.82,40,1.3,1.3,4,10
2022-01-14,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Residential",616,"Pre-Licensing","Direct","B",NA,1000,NA,"Friday",189.69,34,0.8,1.4,2,5.88
2022-01-14,"20-Hour Mortage Broker Education","30% Off","Mortgage Broker","Other",516,"Pre-Licensing","Email","A",0.3,2000,600,"Friday",374.06,20,1.15,1,3,15
2022-01-15,"20-Hour Mortage Broker Education","None","Real Estate Agent","Residential",565,"Pre-Licensing","Facebook","C",NA,2000,NA,"Saturday",365.08,38,0.8,1,2,5.26
2022-01-15,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Government",334,"Pre-Licensing","Conference","B",0.3,750,225,"Saturday",130.99,28,1.15,1.3,6,21.43
2022-01-15,"Rental vs Sales - Defining Your Path","50% Off","Real Estate Agent","Government",366,"Other","Email","C",0.5,200,100,"Saturday",208.4,11,1.5,1,2,18.18
2022-01-15,"20-Hour Mortage Broker Education","30% Off","Other","Other",383,"Continuing Education","LinkedIn","A",0.3,2000,600,"Saturday",196.82,11,1.15,1.1,1,9.09
2022-01-15,"Rental vs Sales - Defining Your Path","50% Off","Other","Residential",799,"Continuing Education","Conference","A",0.5,200,100,"Saturday",354.34,22,1.5,1.3,5,22.73
2022-01-15,"Outsmartimg the 20215 Housing Market","None","Appraiser","Commerical",327,"Other","Conference","A",NA,1000,NA,"Saturday",157.7,12,0.8,1.3,0,0
2022-01-16,"Appraisers State Exam","None","Mortgage Broker","Commerical",583,"Other","Conference","B",NA,750,NA,"Sunday",404.14,29,0.8,1.3,4,13.79
2022-01-16,"Appraisers State Exam","30% Off","Mortgage Broker","Other",464,"Other","Email","B",0.3,750,225,"Sunday",272.37,28,1.15,1,3,10.71
2022-01-17,"20-Hour Mortage Broker Education","30% Off","Real Estate Agent","Private",846,"Continuing Education","Facebook","B",0.3,2000,600,"Monday",269.76,40,1.15,1,3,7.5
2022-01-17,"20-Hour Mortage Broker Education","50% Off","Real Estate Agent","Other",963,"Pre-Licensing","Direct","A",0.5,2000,1000,"Monday",67.61,12,1.5,1.4,2,16.67
2022-01-17,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Real Estate Agent","Other",224,"Continuing Education","Facebook","A",0.4,7500,3000,"Monday",94.81,7,1.3,1,1,14.29
2022-01-17,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Appraiser","Private",155,"Continuing Education","Email","B",0.3,750,225,"Monday",248.54,31,1.15,1,3,9.68
2022-01-17,"Appraisers State Exam","None","Mortgage Broker","Commerical",863,"Continuing Education","Email","C",NA,750,NA,"Monday",492.78,8,0.8,1,0,0
2022-01-17,"Rental vs Sales - Defining Your Path","None","Appraiser","Government",177,"Pre-Licensing","Direct","A",NA,200,NA,"Monday",359.21,31,0.8,1.4,2,6.45
2022-01-17,"Appraisers State Exam","30% Off","Appraiser","Other",638,"Continuing Education","Direct","C",0.3,750,225,"Monday",324.79,11,1.15,1.4,2,18.18
2022-01-17,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Commerical",321,"Other","Direct","C",0.3,750,225,"Monday",144.46,22,1.15,1.4,4,18.18
2022-01-17,"20-Hour Mortage Broker Education","None","Appraiser","Commerical",329,"Pre-Licensing","LinkedIn","C",NA,2000,NA,"Monday",247.59,7,0.8,1.1,0,0
2022-01-17,"75-Hr. PA Sales Pre-Licensing Course Only Package","50% Off","Mortgage Broker","Government",750,"Continuing Education","Email","C",0.5,7500,3750,"Monday",456.69,32,1.5,1,5,15.62
2022-01-17,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Mortgage Broker","Residential",600,"Pre-Licensing","Direct","B",NA,7500,NA,"Monday",249.82,18,0.8,1.4,2,11.11
2022-01-17,"Outsmartimg the 20215 Housing Market","40% Off","Mortgage Broker","Residential",477,"Continuing Education","Direct","B",0.4,1000,400,"Monday",440.93,34,1.3,1.4,4,11.76
2022-01-17,"Rental vs Sales - Defining Your Path","None","Other","Commerical",681,"Pre-Licensing","LinkedIn","B",NA,200,NA,"Monday",62.91,29,0.8,1.1,3,10.34
2022-01-17,"Real Estate Introduction","None","Other","Government",270,"Pre-Licensing","Facebook","C",NA,1500,NA,"Monday",215.17,20,0.8,1,1,5
2022-01-18,"Rental vs Sales - Defining Your Path","None","Appraiser","Private",481,"Pre-Licensing","Email","A",NA,200,NA,"Tuesday",176.12,18,0.8,1,1,5.56
2022-01-18,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Other",100,"Continuing Education","Facebook","A",NA,750,NA,"Tuesday",311.29,27,0.8,1,1,3.7
2022-01-18,"20-Hour Mortage Broker Education","None","Mortgage Broker","Private",941,"Continuing Education","Email","B",NA,2000,NA,"Tuesday",251.81,8,0.8,1,0,0
2022-01-18,"Transition from Home Real Estate to Commerical Real Estate","None","Appraiser","Commerical",247,"Continuing Education","Direct","C",NA,750,NA,"Tuesday",173.63,38,0.8,1.4,2,5.26
2022-01-18,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Other","Other",574,"Pre-Licensing","Direct","B",0.4,750,300,"Tuesday",343.33,9,1.3,1.4,1,11.11
2022-01-18,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Real Estate Agent","Other",787,"Other","Email","C",NA,7500,NA,"Tuesday",235.41,30,0.8,1,1,3.33
2022-01-19,"Appraisers State Exam","40% Off","Mortgage Broker","Private",130,"Pre-Licensing","Facebook","C",0.4,750,300,"Wednesday",325.96,20,1.3,1,2,10
2022-01-19,"Outsmartimg the 20215 Housing Market","30% Off","Appraiser","Government",788,"Pre-Licensing","LinkedIn","C",0.3,1000,300,"Wednesday",278.36,18,1.15,1.1,1,5.56
2022-01-19,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Government",918,"Continuing Education","Facebook","A",NA,750,NA,"Wednesday",289.07,15,0.8,1,1,6.67
2022-01-20,"Rental vs Sales - Defining Your Path","None","Other","Residential",140,"Continuing Education","Email","C",NA,200,NA,"Thursday",246.33,40,0.8,1,2,5
2022-01-20,"Real Estate Introduction","40% Off","Real Estate Agent","Private",427,"Pre-Licensing","Email","B",0.4,1500,600,"Thursday",281.91,22,1.3,1,4,18.18
2022-01-20,"20-Hour Mortage Broker Education","None","Mortgage Broker","Other",481,"Continuing Education","Email","B",NA,2000,NA,"Thursday",439.71,25,0.8,1,2,8
2022-01-20,"Transition from Home Real Estate to Commerical Real Estate","None","Other","Private",456,"Pre-Licensing","LinkedIn","B",NA,750,NA,"Thursday",85.21,20,0.8,1.1,0,0
2022-01-20,"Real Estate Introduction","None","Other","Other",478,"Pre-Licensing","Facebook","B",NA,1500,NA,"Thursday",291.81,25,0.8,1,2,8
2022-01-21,"Rental vs Sales - Defining Your Path","30% Off","Mortgage Broker","Residential",769,"Continuing Education","LinkedIn","C",0.3,200,60,"Friday",131.44,19,1.15,1.1,2,10.53
2022-01-21,"20-Hour Mortage Broker Education","30% Off","Mortgage Broker","Commerical",689,"Continuing Education","Email","C",0.3,2000,600,"Friday",61.76,38,1.15,1,6,15.79
2022-01-21,"Rental vs Sales - Defining Your Path","50% Off","Other","Commerical",192,"Pre-Licensing","LinkedIn","C",0.5,200,100,"Friday",188.7,13,1.5,1.1,1,7.69
2022-01-21,"Outsmartimg the 20215 Housing Market","50% Off","Real Estate Agent","Other",455,"Continuing Education","Email","A",0.5,1000,500,"Friday",401.85,6,1.5,1,1,16.67
2022-01-21,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Appraiser","Government",940,"Continuing Education","LinkedIn","A",NA,7500,NA,"Friday",133.54,22,0.8,1.1,1,4.55
2022-01-22,"Appraisers State Exam","30% Off","Mortgage Broker","Residential",263,"Continuing Education","Direct","C",0.3,750,225,"Saturday",435.43,25,1.15,1.4,4,16
2022-01-22,"20-Hour Mortage Broker Education","40% Off","Appraiser","Residential",610,"Pre-Licensing","Email","C",0.4,2000,800,"Saturday",131.58,18,1.3,1,2,11.11
2022-01-22,"Real Estate Introduction","30% Off","Mortgage Broker","Residential",599,"Pre-Licensing","Facebook","C",0.3,1500,450,"Saturday",157.28,36,1.15,1,4,11.11
2022-01-22,"Appraisers State Exam","50% Off","Other","Government",518,"Other","Email","B",0.5,750,375,"Saturday",113.9,32,1.5,1,3,9.38
2022-01-23,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Mortgage Broker","Other",126,"Continuing Education","Direct","A",0.3,7500,2250,"Sunday",330.83,19,1.15,1.4,4,21.05
2022-01-23,"Appraisers State Exam","50% Off","Other","Private",562,"Pre-Licensing","Email","C",0.5,750,375,"Sunday",479.74,38,1.5,1,6,15.79
2022-01-23,"Real Estate Introduction","40% Off","Real Estate Agent","Residential",851,"Continuing Education","Email","A",0.4,1500,600,"Sunday",181.88,27,1.3,1,3,11.11
2022-01-24,"20-Hour Mortage Broker Education","30% Off","Appraiser","Government",841,"Pre-Licensing","LinkedIn","C",0.3,2000,600,"Monday",331.23,29,1.15,1.1,3,10.34
2022-01-24,"Outsmartimg the 20215 Housing Market","None","Other","Other",737,"Pre-Licensing","Facebook","B",NA,1000,NA,"Monday",199.04,10,0.8,1,1,10
2022-01-24,"Appraisers State Exam","None","Real Estate Agent","Government",158,"Pre-Licensing","Email","B",NA,750,NA,"Monday",55.41,29,0.8,1,2,6.9
2022-01-24,"Real Estate Introduction","40% Off","Mortgage Broker","Private",544,"Continuing Education","Facebook","C",0.4,1500,600,"Monday",241.81,31,1.3,1,2,6.45
2022-01-24,"20-Hour Mortage Broker Education","None","Other","Other",657,"Pre-Licensing","Direct","C",NA,2000,NA,"Monday",177.22,23,0.8,1.4,2,8.7
2022-01-24,"Outsmartimg the 20215 Housing Market","40% Off","Other","Residential",867,"Continuing Education","LinkedIn","C",0.4,1000,400,"Monday",252.49,36,1.3,1.1,6,16.67
2022-01-24,"Rental vs Sales - Defining Your Path","40% Off","Appraiser","Government",741,"Continuing Education","LinkedIn","B",0.4,200,80,"Monday",251.52,39,1.3,1.1,3,7.69
2022-01-25,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Appraiser","Residential",593,"Pre-Licensing","Direct","B",0.3,7500,2250,"Tuesday",309.04,30,1.15,1.4,3,10
2022-01-25,"Appraisers State Exam","40% Off","Other","Private",500,"Continuing Education","Email","C",0.4,750,300,"Tuesday",327.68,29,1.3,1,5,17.24
2022-01-25,"Outsmartimg the 20215 Housing Market","None","Real Estate Agent","Commerical",626,"Other","Direct","B",NA,1000,NA,"Tuesday",78.35,18,0.8,1.4,2,11.11
2022-01-25,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Other","Government",504,"Continuing Education","Conference","C",0.3,7500,2250,"Tuesday",498.57,11,1.15,1.3,0,0
2022-01-26,"Real Estate Introduction","50% Off","Mortgage Broker","Other",173,"Other","Conference","A",0.5,1500,750,"Wednesday",302.22,33,1.5,1.3,8,24.24
2022-01-26,"Outsmartimg the 20215 Housing Market","40% Off","Appraiser","Other",533,"Pre-Licensing","Facebook","A",0.4,1000,400,"Wednesday",492.05,36,1.3,1,4,11.11
2022-01-26,"Outsmartimg the 20215 Housing Market","None","Appraiser","Private",664,"Pre-Licensing","Direct","A",NA,1000,NA,"Wednesday",408.99,26,0.8,1.4,3,11.54
2022-01-26,"Real Estate Introduction","30% Off","Appraiser","Residential",496,"Pre-Licensing","LinkedIn","C",0.3,1500,450,"Wednesday",445.42,23,1.15,1.1,2,8.7
2022-01-26,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Other",530,"Continuing Education","Conference","A",NA,1000,NA,"Wednesday",330.98,35,0.8,1.3,2,5.71
2022-01-26,"Real Estate Introduction","50% Off","Appraiser","Commerical",313,"Pre-Licensing","LinkedIn","B",0.5,1500,750,"Wednesday",349.42,31,1.5,1.1,3,9.68
2022-01-27,"Transition from Home Real Estate to Commerical Real Estate","None","Appraiser","Commerical",661,"Pre-Licensing","LinkedIn","B",NA,750,NA,"Thursday",428.62,6,0.8,1.1,0,0
2022-01-27,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Other",934,"Continuing Education","Facebook","A",0.3,750,225,"Thursday",259.72,38,1.15,1,3,7.89
2022-01-27,"75-Hr. PA Sales Pre-Licensing Course Only Package","40% Off","Real Estate Agent","Residential",471,"Pre-Licensing","Conference","B",0.4,7500,3000,"Thursday",459.86,34,1.3,1.3,4,11.76
2022-01-27,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Real Estate Agent","Private",647,"Continuing Education","Facebook","A",0.3,750,225,"Thursday",150.22,23,1.15,1,2,8.7
2022-01-27,"20-Hour Mortage Broker Education","None","Other","Private",429,"Pre-Licensing","Facebook","A",NA,2000,NA,"Thursday",70.79,6,0.8,1,0,0
2022-01-27,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Other","Private",806,"Pre-Licensing","Facebook","C",0.4,750,300,"Thursday",417.14,32,1.3,1,4,12.5
2022-01-28,"Transition from Home Real Estate to Commerical Real Estate","50% Off","Other","Residential",402,"Continuing Education","Email","A",0.5,750,375,"Friday",443.84,35,1.5,1,3,8.57
2022-01-28,"Transition from Home Real Estate to Commerical Real Estate","None","Real Estate Agent","Government",224,"Continuing Education","Email","C",NA,750,NA,"Friday",208.56,36,0.8,1,1,2.78
2022-01-28,"Rental vs Sales - Defining Your Path","40% Off","Mortgage Broker","Commerical",801,"Pre-Licensing","Conference","B",0.4,200,80,"Friday",304.95,23,1.3,1.3,3,13.04
2022-01-28,"Rental vs Sales - Defining Your Path","40% Off","Other","Government",363,"Pre-Licensing","Email","B",0.4,200,80,"Friday",311.45,20,1.3,1,1,5
2022-01-29,"Appraisers State Exam","40% Off","Appraiser","Commerical",441,"Pre-Licensing","Email","C",0.4,750,300,"Saturday",443.05,5,1.3,1,0,0
2022-01-29,"Transition from Home Real Estate to Commerical Real Estate","50% Off","Mortgage Broker","Private",505,"Pre-Licensing","Facebook","B",0.5,750,375,"Saturday",461.79,32,1.5,1,6,18.75
2022-01-29,"20-Hour Mortage Broker Education","40% Off","Real Estate Agent","Private",222,"Continuing Education","Facebook","B",0.4,2000,800,"Saturday",302.17,6,1.3,1,0,0
2022-01-29,"Transition from Home Real Estate to Commerical Real Estate","30% Off","Mortgage Broker","Commerical",615,"Continuing Education","Facebook","C",0.3,750,225,"Saturday",442.98,36,1.15,1,4,11.11
2022-01-29,"Transition from Home Real Estate to Commerical Real Estate","None","Real Estate Agent","Commerical",105,"Continuing Education","Facebook","B",NA,750,NA,"Saturday",113.41,9,0.8,1,0,0
2022-01-29,"Transition from Home Real Estate to Commerical Real Estate","40% Off","Mortgage Broker","Government",708,"Continuing Education","Direct","B",0.4,750,300,"Saturday",178.99,16,1.3,1.4,1,6.25
2022-01-30,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Other",347,"Continuing Education","LinkedIn","B",NA,750,NA,"Sunday",412.46,13,0.8,1.1,0,0
2022-01-30,"Appraisers State Exam","None","Other","Private",435,"Pre-Licensing","LinkedIn","B",NA,750,NA,"Sunday",112.75,13,0.8,1.1,1,7.69
2022-01-30,"Transition from Home Real Estate to Commerical Real Estate","None","Mortgage Broker","Commerical",491,"Other","Conference","C",NA,750,NA,"Sunday",399.77,20,0.8,1.3,1,5
2022-01-30,"Rental vs Sales - Defining Your Path","40% Off","Other","Other",604,"Continuing Education","LinkedIn","B",0.4,200,80,"Sunday",448.6,30,1.3,1.1,2,6.67
2022-01-31,"20-Hour Mortage Broker Education","40% Off","Other","Government",642,"Continuing Education","Conference","C",0.4,2000,800,"Monday",83.5,8,1.3,1.3,1,12.5
2022-01-31,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Other","Commerical",345,"Continuing Education","Email","C",0.3,7500,2250,"Monday",498.17,6,1.15,1,0,0
2022-01-31,"75-Hr. PA Sales Pre-Licensing Course Only Package","None","Appraiser","Government",624,"Pre-Licensing","Conference","B",NA,7500,NA,"Monday",491.94,23,0.8,1.3,3,13.04
2022-01-31,"75-Hr. PA Sales Pre-Licensing Course Only Package","30% Off","Mortgage Broker","Government",314,"Pre-Licensing","Direct","B",0.3,7500,2250,"Monday",339.26,38,1.15,1.4,4,10.53
2022-01-31,"Real Estate Introduction","40% Off","Other","Other",216,"Pre-Licensing","Email","A",0.4,1500,600,"Monday",477.75,32,1.3,1,2,6.25
2022-02-01,"Outsmartimg the 20215 Housing Market","None","Mortgage Broker","Residential",589,"Pre-Licensing","Direct","B",NA,1000,NA,"Tuesday",295.32,33,0.8,1.4,4,12.12
